❤️央视频道,#genre#
CCTV-1,http://39.135.32.236:6610/PLTV/77777777/224/3221225654/index.m3u8?
CCTV-2,http://39.135.32.236:6610/PLTV/77777777/224/3221225657/index.m3u8?
CCTV-3,http://39.135.32.236:6610/PLTV/77777777/224/3221225677/index.m3u8?
CCTV-4,http://39.135.32.236:6610/PLTV/77777777/224/3221225753/index.m3u8?
CCTV-5,http://39.135.32.236:6610/PLTV/77777777/224/3221225516/index.m3u8?
CCTV-5+,http://39.135.32.236:6610/PLTV/77777777/224/3221225621/index.m3u8?
CCTV-6,http://39.135.32.236:6610/PLTV/77777777/224/3221225683/index.m3u8?
CCTV-7,http://39.135.32.236:6610/PLTV/77777777/224/3221225627/index.m3u8?
CCTV-8,http://39.135.32.236:6610/PLTV/77777777/224/3221225630/index.m3u8?
CCTV-9,http://39.135.32.236:6610/PLTV/77777777/224/3221225633/index.m3u8?
CCTV-9,http://39.135.32.236:6610/PLTV/77777777/224/3221225939/index.m3u8?
CCTV-10,http://39.135.32.236:6610/PLTV/77777777/224/3221225624/index.m3u8?
CCTV-11,http://39.135.32.236:6610/PLTV/77777777/224/3221225739/index.m3u8?
CCTV-12,http://39.135.32.236:6610/PLTV/77777777/224/3221225645/index.m3u8?
CCTV-13,http://39.135.32.236:6610/PLTV/77777777/224/3221225742/index.m3u8?
CCTV-14,http://39.135.32.236:6610/PLTV/77777777/224/3221225648/index.m3u8?
CCTV-15,http://39.135.32.236:6610/PLTV/77777777/224/3221225693/index.m3u8?
CCTV-16,http://39.135.32.236:6610/PLTV/77777777/224/3221225845/index.m3u8?
CCTV-16,http://39.135.32.236:6610/PLTV/77777777/224/3221225956/index.m3u8?
CCTV-17,http://39.135.32.236:6610/PLTV/77777777/224/3221225513/index.m3u8?
CCTV-1,http://111.20.33.93/PLTV/88888893/224/3221226010/index.m3u8
CCTV-2,http://111.20.33.93/PLTV/88888893/224/3221226224/index.m3u8
CCTV-3,http://111.20.33.93/PLTV/88888893/224/3221226397/index.m3u8
CCTV-4,http://111.20.33.93/PLTV/88888893/224/3221226191/index.m3u8
CCTV-5,http://111.20.33.93/PLTV/88888893/224/3221226395/index.m3u8
CCTV-5+,http://111.20.33.93/PLTV/88888893/224/3221226221/index.m3u8
CCTV-6,http://111.20.33.93/PLTV/88888893/224/3221226011/index.m3u8
CCTV-7,http://111.20.33.93/PLTV/88888893/224/3221226192/index.m3u8
CCTV-8,http://111.20.33.93/PLTV/88888893/224/3221226391/index.m3u8
CCTV-9,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8
CCTV-9,http://39.134.65.208/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10,http://111.20.33.93/PLTV/88888893/224/3221226189/index.m3u8
CCTV-11,http://111.20.33.93/PLTV/88888893/224/3221226240/index.m3u8
CCTV-12,http://111.20.33.93/PLTV/88888893/224/3221226190/index.m3u8
CCTV-13,http://111.20.33.93/PLTV/88888893/224/3221226233/index.m3u8
CCTV-14,http://39.134.65.162/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15,http://111.40.196.31/PLTV/88888888/224/3221225500/index.m3u8
CCTV-16,http://111.20.33.93/PLTV/88888893/224/3221226921/index.m3u8
CCTV-17,http://111.20.33.93/PLTV/88888893/224/3221226198/index.m3u8
CCTV-1,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/encoder/0/playlist.m3u8?
CCTV-2,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240244_1/encoder/0/playlist.m3u8?
CCTV-3,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240245_1/encoder/0/playlist.m3u8?
CCTV-4,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240316_1/encoder/0/playlist.m3u8?
CCTV-5,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240246_1/encoder/0/playlist.m3u8?
CCTV-5,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240281_1/encoder/0/playlist.m3u8?
CCTV-5+,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240128_1/encoder/0/playlist.m3u8?
CCTV-6,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240247_1/encoder/0/playlist.m3u8?
CCTV-7,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240248_1/encoder/0/playlist.m3u8?
CCTV-8,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240249_1/encoder/0/playlist.m3u8?
CCTV-9,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240250_1/encoder/0/playlist.m3u8?
CCTV-9,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240478_1/encoder/0/playlist.m3u8?
CCTV-10,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240251_1/encoder/0/playlist.m3u8?
CCTV-11,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240328_1/encoder/0/playlist.m3u8?
CCTV-12,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240252_1/encoder/0/playlist.m3u8?
CCTV-13,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240502_1/encoder/0/playlist.m3u8?
CCTV-14,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240253_1/encoder/0/playlist.m3u8?
CCTV-15,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240329_1/encoder/0/playlist.m3u8?
CCTV-16 4K,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240389_1/encoder/0/playlist.m3u8?
CCTV-16,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240388_1/encoder/0/playlist.m3u8?
CCTV-17,http://59.49.41.41/live.aishang.ctlcdn.com/00000110240326_1/encoder/0/playlist.m3u8?
CCTV-1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV-3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
